-10,0,4396,4396,4396,4883,4049,4883,4396,4883,4049,4049,4049,4883
0,10,4396,4396,4396,4883,4049,4967,4396,4967,4967,4049,4049,4883
10,20,4396,4396,4396,4883,4049,4967,4396,4967,4967,4049,4049,4883
20,30,4396,4396,4396,4883,4049,720,4396,4967,4967,4049,4049,4883
30,40,4396,4396,4396,4883,4049,720,4396,4967,4967,4049,4049,4883
40,50,4396,7863,4396,4883,4049,720,4396,4967,4967,4049,4049,4883
50,60,7272,7272,720,7272,7272,720,4967,4967,4967,4967,4883,4883
60,70,7272,7272,720,7272,7272,720,4967,4967,4967,4967,4883,720
70,80,6811,7272,720,7272,7272,720,720,720,720,720,720,720
80,90,6811,7272,720,5223,3795,720,720,720,720,720,720,720
90,100,6811,7272,720,5223,2492,720,7270,720,720,720,720,720
100,110,6811,7272,7272,5223,2492,6080,7270,2531,4118,6811,7607,7272
110,120,3443,7272,7272,5223,8488,6080,7270,2531,3122,6811,7607,7272
120,130,6904,3795,5223,5223,8488,6080,7607,2531,4533,7743,7607,3795
130,140,3585,3795,3585,5147,4533,6080,7607,2531,4533,7743,7607,3795
140,150,3585,3795,3585,5147,4533,6080,7607,4457,4533,7743,8350,3795
150,160,5049,3795,7426,5147,4533,5147,7607,3795,4533,7743,8350,3795
160,170,488,3443,5049,5147,4533,5147,7607,5281,4533,7743,8350,5551
170,180,488,3443,5049,5147,4533,5147,7607,5281,4533,7743,8350,5551
180,190,488,3443,5049,5147,4533,5147,7607,5281,4533,7743,8350,5551
190,200,488,3443,5049,29199,4533,5147,3443,5281,4533,7743,8350,6295
200,210,488,4533,5049,29199,4533,7117,7186,488,4533,7743,8350,6295
210,220,488,402,5049,9880,9880,7117,7186,488,4533,23092,8350,6295
220,230,488,402,5049,9880,9880,7117,7186,488,3711,23092,8350,6295
230,240,488,402,10025,9880,9880,7117,7186,488,3711,28227,488,6295
240,250,10025,918,10025,9880,9880,10306,7186,20916,6823,10306,12613,6295
250,260,10025,918,10025,9880,9880,10306,3567,20916,6823,10306,9866,6295
260,270,10025,918,10025,9880,9880,10306,3567,20916,6823,10306,9866,4657
270,280,10025,918,10025,9880,9880,10306,1540,20916,6823,10306,9866,4657
280,290,18570,918,10025,9880,9880,10306,1540,20916,10437,10306,9866,4657
290,300,18570,9880,10025,9880,9880,10306,1540,20916,10437,10306,9866,28842
300,310,18570,28916,10025,28916,28588,10306,20916,20916,10437,10306,9866,28842
310,320,18570,28916,22989,28916,9960,10306,20916,20916,10437,10306,9866,30606
320,330,18570,28916,46734,28916,29795,46153,29795,20916,10437,20916,9866,29795
330,340,18570,28916,46734,28916,29795,46153,29795,41644,10437,33080,9866,29795
340,350,18570,28916,46734,28916,29795,46153,29795,41644,22989,9927,10208,29795
350,360,18570,9927,46734,29795,29795,46153,29795,10208,22989,9927,10208,9923
360,370,9927,9927,46734,29795,29795,46153,29795,10208,34309,9927,10208,9923
370,380,9927,9927,46734,29795,29795,46153,29795,10208,9927,34368,10208,9923
380,390,9927,9624,46734,9624,29795,46153,29795,10208,9927,9624,10208,9923
